%  Transport estimate of the Florida Current  
%  using voltage data of the submarine cable  
%  from West Palm Beach, FL to Eight Mile Rock, 
%  Grand Bahama Island 
% 
% 
%  PLEASE NOTE: After August 1, 2019, a new cable voltage 
%               recording system is in use. There can be  
%               a small constant voltage offset that can  
%               translate to transport estimates. We will 
%               be able to calibrate and remove any       
%               offset that may be present with the new   
%               recording system, but this will take us a 
%               few months as we collect enough dropsonde 
%               cruises to evaluate and update our        
%               calibration. Until then, please use this  
%               data with caution.                        
%                                                         
%                                                         
%  For further information please contact
%  Dr. Denis Volkov
%  Denis.Volkov@noaa.gov
%  (305) 361-4344 
% 
% 
%  Flag: 0 - Good data
%        1 - Estimated without filter
%        2 - No data
% 
% 
%  Table updated: 20-Jan-2021
% 
%
%  Year  Month  Day   Transport   Flag
%                       [Sv] 
   2020     1    1      29.3       0 
   2020     1    2      28.7       0 
   2020     1    3      29.4       0 
   2020     1    4      31.0       0 
   2020     1    5      30.0       0 
   2020     1    6      28.0       0 
   2020     1    7      28.2       0 
   2020     1    8      29.5       0 
   2020     1    9      30.2       0 
   2020     1   10      31.8       0 
   2020     1   11      34.8       0 
   2020     1   12      36.2       0 
   2020     1   13      35.9       0 
   2020     1   14      35.2       0 
   2020     1   15      34.9       0 
   2020     1   16      34.3       0 
   2020     1   17      32.1       0 
   2020     1   18      30.6       0 
   2020     1   19      32.1       0 
   2020     1   20      32.2       0 
   2020     1   21      28.7       0 
   2020     1   22      24.0       0 
   2020     1   23      23.1       0 
   2020     1   24      27.1       0 
   2020     1   25      29.6       0 
   2020     1   26      30.3       0 
   2020     1   27      31.3       0 
   2020     1   28      30.6       0 
   2020     1   29      29.4       0 
   2020     1   30      29.3       0 
   2020     1   31      29.2       0 
   2020     2    1      30.1       0 
   2020     2    2      29.7       0 
   2020     2    3      29.6       0 
   2020     2    4      31.8       0 
   2020     2    5      33.8       0 
   2020     2    6      35.4       0 
   2020     2    7      36.6       0 
   2020     2    8      35.6       0 
   2020     2    9      34.0       0 
   2020     2   10      34.2       0 
   2020     2   11      35.2       0 
   2020     2   12      34.7       0 
   2020     2   13      33.9       0 
   2020     2   14      33.8       0 
   2020     2   15      32.6       0 
   2020     2   16      32.3       0 
   2020     2   17      32.7       0 
   2020     2   18      31.5       0 
   2020     2   19      30.1       0 
   2020     2   20      28.5       0 
   2020     2   21      24.9       0 
   2020     2   22      21.5       0 
   2020     2   23      24.2       0 
   2020     2   24      28.0       0 
   2020     2   25      30.2       0 
   2020     2   26      32.2       0 
   2020     2   27      31.7       0 
   2020     2   28      30.7       0 
   2020     2   29      31.5       0 
   2020     3    1      31.9       0 
   2020     3    2      33.2       0 
   2020     3    3      36.4       0 
   2020     3    4      37.4       0 
   2020     3    5      35.8       0 
   2020     3    6      34.5       0 
   2020     3    7      32.0       0 
   2020     3    8      29.8       0 
   2020     3    9      30.6       0 
   2020     3   10      32.9       0 
   2020     3   11      34.2       0 
   2020     3   12      34.4       0 
   2020     3   13      33.4       0 
   2020     3   14      32.3       0 
   2020     3   15      31.2       0 
   2020     3   16      29.7       0 
   2020     3   17      29.3       0 
   2020     3   18      29.9       0 
   2020     3   19      31.3       0 
   2020     3   20      32.9       0 
   2020     3   21      33.4       0 
   2020     3   22      33.3       0 
   2020     3   23      32.6       0 
   2020     3   24      31.8       0 
   2020     3   25      31.6       0 
   2020     3   26      31.0       0 
   2020     3   27      30.7       0 
   2020     3   28      31.9       0 
   2020     3   29      32.9       0 
   2020     3   30      33.5       0 
   2020     3   31      33.7       0 
   2020     4    1      32.2       0 
   2020     4    2      29.1       0 
   2020     4    3      27.4       0 
   2020     4    4      26.6       0 
   2020     4    5      25.4       0 
   2020     4    6      24.1       0 
   2020     4    7      24.7       0 
   2020     4    8      26.9       0 
   2020     4    9      28.2       0 
   2020     4   10      29.3       0 
   2020     4   11      30.2       0 
   2020     4   12      31.8       0 
   2020     4   13      34.2       0 
   2020     4   14      35.7       0 
   2020     4   15      34.4       0 
   2020     4   16      30.7       0 
   2020     4   17      28.2       0 
   2020     4   18      28.9       0 
   2020     4   19      30.5       0 
   2020     4   20      32.3       0 
   2020     4   21      32.4       0 
   2020     4   22      30.7       0 
   2020     4   23      30.5       0 
   2020     4   24      31.5       0 
   2020     4   25      30.0       0 
   2020     4   26      29.2       0 
   2020     4   27      29.8       0 
   2020     4   28      30.5       0 
   2020     4   29      31.8       0 
   2020     4   30      33.1       0 
   2020     5    1      32.4       0 
   2020     5    2      30.0       0 
   2020     5    3      28.6       0 
   2020     5    4      30.2       0 
   2020     5    5      32.5       0 
   2020     5    6      32.9       0 
   2020     5    7      31.6       0 
   2020     5    8      31.7       0 
   2020     5    9      32.8       0 
   2020     5   10      32.4       0 
   2020     5   11      31.0       0 
   2020     5   12      29.7       0 
   2020     5   13      29.4       0 
   2020     5   14      30.5       0 
   2020     5   15      31.6       0 
   2020     5   16      31.0       0 
   2020     5   17      30.0       0 
   2020     5   18      29.9       0 
   2020     5   19      31.0       0 
   2020     5   20      31.4       0 
   2020     5   21      30.5       0 
   2020     5   22      29.4       0 
   2020     5   23      29.3       0 
   2020     5   24      30.3       0 
   2020     5   25      31.5       0 
   2020     5   26      31.9       0 
   2020     5   27      31.9       0 
   2020     5   28      31.7       0 
   2020     5   29      32.7       0 
   2020     5   30      34.6       0 
   2020     5   31      33.8       0 
   2020     6    1      31.3       0 
   2020     6    2      29.5       0 
   2020     6    3      29.6       0 
   2020     6    4      30.5       0 
   2020     6    5      31.2       0 
   2020     6    6      32.4       0 
   2020     6    7      33.9       0 
   2020     6    8      33.2       0 
   2020     6    9      30.2       0 
   2020     6   10      28.7       0 
   2020     6   11      29.0       0 
   2020     6   12      30.1       0 
   2020     6   13      31.8       0 
   2020     6   14      33.1       0 
   2020     6   15      33.3       0 
   2020     6   16      32.4       0 
   2020     6   17      32.3       0 
   2020     6   18      32.9       0 
   2020     6   19      33.1       0 
   2020     6   20      33.9       0 
   2020     6   21      35.7       0 
   2020     6   22      37.4       0 
   2020     6   23      37.7       0 
   2020     6   24      37.4       0 
   2020     6   25      36.5       0 
   2020     6   26      36.0       0 
   2020     6   27      36.3       0 
   2020     6   28      35.9       0 
   2020     6   29      35.2       0 
   2020     6   30      35.2       0 
   2020     7    1      34.8       0 
   2020     7    2      34.5       0 
   2020     7    3      34.0       0 
   2020     7    4      34.0       0 
   2020     7    5      34.6       0 
   2020     7    6      33.6       0 
   2020     7    7      32.5       0 
   2020     7    8      32.3       0 
   2020     7    9      32.2       0 
   2020     7   10      31.8       0 
   2020     7   11      30.8       0 
   2020     7   12      30.7       0 
   2020     7   13      33.2       0 
   2020     7   14      34.9       0 
   2020     7   15      34.3       0 
   2020     7   16      33.7       0 
   2020     7   17      33.4       0 
   2020     7   18      32.9       0 
   2020     7   19      33.1       0 
   2020     7   20      33.9       0 
   2020     7   21      34.1       0 
   2020     7   22      34.2       0 
   2020     7   23      35.0       0 
   2020     7   24      36.4       0 
   2020     7   25      35.8       0 
   2020     7   26      35.5       0 
   2020     7   27      35.5       0 
   2020     7   28      35.2       0 
   2020     7   29      34.1       0 
   2020     7   30      33.7       0 
   2020     7   31      34.8       0 
   2020     8    1      36.2       0 
   2020     8    2      36.9       0 
   2020     8    3      36.1       0 
   2020     8    4      35.1       0 
   2020     8    5      34.4       0 
   2020     8    6      33.7       0 
   2020     8    7      33.0       0 
   2020     8    8      32.9       0 
   2020     8    9      32.9       0 
   2020     8   10      32.9       0 
   2020     8   11      33.2       0 
   2020     8   12      34.0       0 
   2020     8   13      34.1       0 
   2020     8   14      33.9       0 
   2020     8   15      34.4       0 
   2020     8   16      35.1       0 
   2020     8   17      35.5       0 
   2020     8   18      36.1       0 
   2020     8   19      36.1       0 
   2020     8   20      36.3       0 
   2020     8   21      36.6       0 
   2020     8   22      35.3       0 
   2020     8   23      33.9       0 
   2020     8   24      34.3       0 
   2020     8   25      35.2       0 
   2020     8   26      35.8       0 
   2020     8   27      35.7       0 
   2020     8   28      36.2       0 
   2020     8   29      37.3       0 
   2020     8   30      38.0       0 
   2020     8   31      37.2       0 
   2020     9    1      36.7       0 
   2020     9    2      36.5       0 
   2020     9    3      36.7       0 
   2020     9    4      36.8       0 
   2020     9    5      36.5       0 
   2020     9    6      35.8       0 
   2020     9    7      34.4       0 
   2020     9    8      33.5       0 
   2020     9    9      33.6       0 
   2020     9   10      33.9       0 
   2020     9   11      34.6       0 
   2020     9   12      35.8       0 
   2020     9   13      35.5       0 
   2020     9   14      34.3       0 
   2020     9   15      32.9       0 
   2020     9   16      32.1       0 
   2020     9   17      32.5       0 
   2020     9   18      33.2       0 
   2020     9   19      31.9       0 
   2020     9   20      27.6       0 
   2020     9   21      23.3       0 
   2020     9   22      22.0       0 
   2020     9   23      22.3       0 
   2020     9   24      23.6       0 
   2020     9   25      26.3       0 
   2020     9   26      29.3       0 
   2020     9   27      31.5       0 
   2020     9   28      32.3       0 
   2020     9   29      31.4       0 
   2020     9   30      29.6       0 
   2020    10    1      27.9       0 
   2020    10    2      28.7       0 
   2020    10    3      30.1       0 
   2020    10    4      30.0       0 
   2020    10    5      28.2       0 
   2020    10    6      26.6       0 
   2020    10    7      27.6       0 
   2020    10    8      28.2       0 
   2020    10    9      27.4       0 
   2020    10   10      28.1       0 
   2020    10   11      30.3       0 
   2020    10   12      30.8       0 
   2020    10   13      29.9       0 
   2020    10   14      29.3       0 
   2020    10   15      28.8       0 
   2020    10   16      29.2       0 
   2020    10   17      29.4       0 
   2020    10   18      28.5       0 
   2020    10   19      27.6       0 
   2020    10   20      28.0       0 
   2020    10   21      29.0       0 
   2020    10   22      29.4       0 
   2020    10   23      29.2       0 
   2020    10   24      29.4       0 
   2020    10   25      29.6       0 
   2020    10   26      29.2       0 
   2020    10   27      28.5       0 
   2020    10   28      27.9       0 
   2020    10   29      29.3       0 
   2020    10   30      31.3       0 
   2020    10   31      31.0       0 
   2020    11    1      28.3       0 
   2020    11    2      24.9       0 
   2020    11    3      22.3       0 
   2020    11    4      22.8       0 
   2020    11    5      24.6       0 
   2020    11    6      25.1       0 
   2020    11    7      24.7       0 
   2020    11    8      23.7       0 
   2020    11    9      23.0       0 
   2020    11   10      23.8       0 
   2020    11   11      25.8       0 
   2020    11   12      28.2       0 
   2020    11   13      28.1       0 
   2020    11   14      26.2       0 
   2020    11   15      25.5       0 
   2020    11   16      26.0       0 
   2020    11   17      25.5       0 
   2020    11   18      24.6       0 
   2020    11   19      24.3       0 
   2020    11   20      24.6       0 
   2020    11   21      25.2       0 
   2020    11   22      24.7       0 
   2020    11   23      23.6       0 
   2020    11   24      23.0       0 
   2020    11   25      23.9       0 
   2020    11   26      25.8       0 
   2020    11   27      27.9       0 
   2020    11   28      29.2       0 
   2020    11   29      29.7       0 
   2020    11   30      30.3       0 
   2020    12    1      30.1       0 
   2020    12    2      29.5       0 
   2020    12    3      30.7       0 
   2020    12    4      32.5       0 
   2020    12    5      32.9       0 
   2020    12    6      32.2       0 
   2020    12    7      30.9       0 
   2020    12    8      29.2       0 
   2020    12    9      28.5       0 
   2020    12   10      29.2       0 
   2020    12   11      29.1       0 
   2020    12   12      28.6       0 
   2020    12   13      28.9       0 
   2020    12   14      29.1       0 
   2020    12   15      28.4       0 
   2020    12   16      27.2       0 
   2020    12   17      27.0       0 
   2020    12   18      26.9       0 
   2020    12   19      26.3       0 
   2020    12   20      27.2       0 
   2020    12   21      28.9       0 
   2020    12   22      28.9       0 
   2020    12   23      28.5       0 
   2020    12   24      29.5       0 
   2020    12   25      30.1       0 
   2020    12   26      29.5       0 
   2020    12   27      29.5       0 
   2020    12   28      30.3       0 
   2020    12   29      30.5       0 
   2020    12   30      30.1       0 
   2020    12   31      30.6       0 
