%  Transport estimate of the Florida Current  
%  using voltage data of the submarine cable  
%  from West Palm Beach, FL to Eight Mile Rock, 
%  Grand Bahama Island 
% 
% 
%  For further information please contact
%  Dr. Denis Volkov
%  Denis.Volkov@noaa.gov
%  (305) 361-4344 
% 
% 
%  Flag: 0 - Good data
%        1 - Estimated without filter
%        2 - No data
% 
% 
%  Table updated: 26-Sep-2022
% 
%
%  Year  Month  Day   Transport   Flag
%                       [Sv] 
   2022     1    1      28.7       0 
   2022     1    2      29.7       0 
   2022     1    3      29.9       0 
   2022     1    4      26.8       0 
   2022     1    5      24.1       0 
   2022     1    6      23.7       0 
   2022     1    7      24.7       0 
   2022     1    8      26.0       0 
   2022     1    9      27.5       0 
   2022     1   10      28.5       0 
   2022     1   11      27.0       0 
   2022     1   12      25.9       0 
   2022     1   13      26.9       0 
   2022     1   14      27.7       0 
   2022     1   15      26.2       0 
   2022     1   16      26.1       0 
   2022     1   17      28.4       0 
   2022     1   18      28.7       0 
   2022     1   19      28.6       0 
   2022     1   20      30.8       0 
   2022     1   21      32.7       0 
   2022     1   22      30.8       0 
   2022     1   23      27.5       0 
   2022     1   24      27.4       0 
   2022     1   25      29.1       0 
   2022     1   26      29.4       0 
   2022     1   27      28.3       0 
   2022     1   28      26.7       0 
   2022     1   29      25.1       0 
   2022     1   30      24.3       0 
   2022     1   31      25.6       0 
   2022     2    1      27.6       0 
   2022     2    2      28.7       0 
   2022     2    3      30.1       0 
   2022     2    4      30.5       0 
   2022     2    5      29.6       0 
   2022     2    6      28.6       0 
   2022     2    7      28.5       0 
   2022     2    8      29.5       0 
   2022     2    9      29.2       0 
   2022     2   10      28.8       0 
   2022     2   11      29.0       0 
   2022     2   12      30.3       0 
   2022     2   13      29.4       0 
   2022     2   14      27.9       0 
   2022     2   15      27.5       0 
   2022     2   16      29.5       0 
   2022     2   17      31.9       0 
   2022     2   18      34.2       0 
   2022     2   19      34.1       0 
   2022     2   20      32.2       0 
   2022     2   21      32.0       0 
   2022     2   22      31.8       0 
   2022     2   23      31.6       0 
   2022     2   24      31.6       0 
   2022     2   25      32.0       0 
   2022     2   26      31.6       0 
   2022     2   27      30.5       0 
   2022     2   28      29.3       0 
   2022     3    1      27.8       0 
   2022     3    2      27.1       0 
   2022     3    3      28.5       0 
   2022     3    4      31.1       0 
   2022     3    5      32.1       0 
   2022     3    6      31.6       0 
   2022     3    7      31.5       0 
   2022     3    8      32.4       0 
   2022     3    9      34.3       0 
   2022     3   10      36.3       0 
   2022     3   11      36.6       0 
   2022     3   12      36.7       0 
   2022     3   13      35.3       0 
   2022     3   14      32.1       0 
   2022     3   15      31.7       0 
   2022     3   16      32.5       0 
   2022     3   17      32.8       0 
   2022     3   18      32.5       0 
   2022     3   19      32.3       0 
   2022     3   20      32.1       0 
   2022     3   21      30.9       0 
   2022     3   22      30.0       0 
   2022     3   23      31.4       0 
   2022     3   24      33.8       0 
   2022     3   25      34.0       0 
   2022     3   26      32.8       0 
   2022     3   27      32.1       0 
   2022     3   28      31.5       0 
   2022     3   29      31.1       0 
   2022     3   30      30.9       0 
   2022     3   31      32.0       0 
   2022     4    1      33.4       0 
   2022     4    2      32.3       0 
   2022     4    3      30.7       0 
   2022     4    4      30.4       0 
   2022     4    5      30.9       0 
   2022     4    6      32.9       0 
   2022     4    7      34.4       0 
   2022     4    8      33.6       0 
   2022     4    9      32.5       0 
   2022     4   10      31.7       0 
   2022     4   11      30.9       0 
   2022     4   12      30.5       0 
   2022     4   13      30.5       0 
   2022     4   14      31.6       0 
   2022     4   15      31.6       0 
   2022     4   16      31.8       0 
   2022     4   17      32.2       0 
   2022     4   18      32.2       0 
   2022     4   19      30.8       0 
   2022     4   20      29.4       0 
   2022     4   21      28.5       0 
   2022     4   22      28.1       0 
   2022     4   23      27.9       0 
   2022     4   24      27.8       0 
   2022     4   25      29.3       0 
   2022     4   26      30.6       0 
   2022     4   27      32.1       0 
   2022     4   28      32.2       0 
   2022     4   29      31.9       0 
   2022     4   30      32.1       0 
   2022     5    1      31.8       0 
   2022     5    2      31.3       0 
   2022     5    3      30.4       0 
   2022     5    4      29.2       0 
   2022     5    5      28.8       0 
   2022     5    6      29.2       0 
   2022     5    7      30.6       0 
   2022     5    8      31.5       0 
   2022     5    9      28.5       0 
   2022     5   10      24.6       0 
   2022     5   11      21.6       0 
   2022     5   12      20.1       0 
   2022     5   13      21.8       0 
   2022     5   14      23.8       0 
   2022     5   15      25.3       0 
   2022     5   16      25.6       0 
   2022     5   17      25.9       0 
   2022     5   18      26.1       0 
   2022     5   19      26.5       0 
